frame,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder
167,144.17,126.59,159.29,156.88,148.09,138.67,10.49,5.13
168,91.92,150.9,155.64,160.38,146.37,126.46,16.43,9.17
169,90.97,155.47,149.67,163.64,139.02,99.45,27.5,13.98
170,96.73,159.33,144.71,170.18,129.64,81.13,37.76,13.57
171,108.08,162.42,140.48,176.32,124.83,65.71,44.02,15.64
172,119.69,167.69,139.23,178.73,122.31,55.03,47.92,15.94
173,128.94,172.67,140.7,173.22,127.15,47.91,46.0,16.44
174,135.36,176.4,141.1,168.49,128.62,52.24,45.66,15.98
175,143.94,173.2,142.23,165.47,130.19,53.53,44.02,13.73
176,150.52,167.77,144.57,164.65,133.9,67.33,41.13,12.25
177,154.92,158.25,146.33,165.17,135.73,70.41,38.99,7.79
178,155.44,144.23,147.34,167.78,136.51,79.16,37.21,7.86
179,157.73,132.42,151.93,169.1,138.96,110.91,32.25,6.89
180,156.21,111.85,153.3,173.76,141.57,132.58,27.67,4.66
181,150.87,93.63,153.88,179.64,140.86,142.63,23.35,4.03
182,146.22,82.06,152.61,173.72,144.56,147.37,14.5,1.77
183,148.69,70.39,154.69,164.67,146.48,150.4,7.29,3.01
184,147.4,68.28,157.33,159.86,146.31,151.13,4.37,0.14
185,143.5,73.21,157.6,155.52,131.77,155.1,5.05,0.38
186,155.03,77.52,166.07,142.96,121.9,139.79,0.57,2.61
187,159.4,86.22,172.41,137.16,109.22,131.89,4.43,3.84
188,163.1,99.59,178.21,134.38,102.82,112.66,5.35,4.74
189,165.14,108.98,177.2,131.11,102.18,97.51,2.7,5.34
190,169.62,119.69,172.77,134.96,98.39,166.23,4.88,16.34
191,172.54,131.3,169.31,140.53,98.0,165.16,4.56,21.39
192,172.92,138.75,166.87,141.84,117.71,171.32,4.25,24.83
193,168.43,147.31,166.52,144.38,118.87,169.06,4.93,26.0
194,161.52,153.61,168.02,146.51,124.71,164.76,3.28,28.74
195,153.05,157.11,169.39,148.17,120.09,162.06,0.86,27.83
196,143.45,158.13,170.63,149.54,116.3,157.68,1.59,27.19
197,129.01,159.51,172.85,151.87,125.37,166.32,1.81,13.53
198,109.22,157.67,179.12,147.22,134.17,156.3,6.17,3.04
199,98.86,150.91,179.38,148.32,139.81,163.02,7.11,2.44
200,88.65,149.48,173.8,150.0,142.83,149.56,7.85,2.04
201,80.01,148.35,163.93,153.0,146.59,153.38,6.65,3.54
202,144.31,117.9,156.04,156.38,136.51,146.36,13.23,0.29
203,90.88,152.28,154.64,158.1,138.12,141.12,20.5,5.54
204,89.51,152.48,149.8,160.09,130.27,127.42,31.19,11.09
205,96.31,159.51,144.6,166.77,121.15,94.71,42.7,13.49
206,104.52,163.63,141.69,174.38,119.97,60.72,47.31,12.73
207,116.3,167.27,140.71,179.27,118.58,47.07,50.72,18.05
208,134.84,178.09,154.39,176.64,122.56,43.83,50.14,14.99
209,134.66,174.42,143.21,169.93,123.74,44.66,50.09,17.49
210,128.91,176.44,145.26,164.9,128.23,50.6,46.65,13.87
211,148.97,166.55,146.82,163.82,130.34,60.58,44.71,13.16
212,156.44,153.1,148.5,164.78,130.08,65.5,43.41,10.11
213,158.75,136.17,149.47,167.05,131.6,97.97,40.99,6.55
214,160.31,119.55,151.99,167.35,134.87,121.6,35.21,5.09
215,156.49,100.2,152.72,170.58,141.03,138.5,27.29,3.12
216,157.52,83.27,153.67,178.98,143.86,151.05,20.46,4.98
217,151.35,73.55,151.87,175.46,145.51,157.39,10.77,2.51
218,150.55,62.12,153.25,166.93,150.05,155.75,4.29,0.58
219,150.34,59.52,157.15,158.94,144.6,153.86,1.41,2.14
220,146.17,60.48,155.72,151.64,134.44,163.59,2.06,1.95
221,150.84,66.23,159.96,143.88,132.42,159.64,8.33,3.54
222,156.74,74.66,167.68,141.29,124.92,143.18,13.14,4.4
223,159.8,97.99,173.43,137.49,102.11,113.79,12.23,8.84
224,162.79,107.52,178.65,134.2,90.8,100.87,12.18,8.78
225,166.94,116.65,176.06,135.49,90.39,91.2,13.0,6.89
226,170.01,125.59,172.49,138.71,93.77,92.74,10.3,6.82
227,170.56,134.38,170.25,141.27,99.91,159.69,10.67,5.06
228,167.2,142.4,169.24,142.58,103.16,103.73,9.99,3.03
229,162.23,149.94,168.8,143.63,175.46,90.52,12.48,3.23
230,154.46,155.99,169.35,145.54,117.47,142.79,1.57,9.42
231,144.79,160.18,170.16,148.48,127.4,165.86,4.75,7.13
232,132.71,160.79,169.83,150.07,130.6,136.41,2.89,1.28
233,113.13,161.97,173.37,152.34,137.21,153.87,1.23,1.38
234,98.78,159.54,177.52,151.34,138.32,164.37,0.89,4.17
235,86.27,152.65,177.99,151.03,138.94,162.44,1.91,3.36
236,75.36,152.14,172.15,153.27,143.37,160.34,2.28,4.36
237,69.87,150.65,164.72,154.96,148.84,159.79,2.91,3.02
238,67.21,152.58,156.83,155.57,151.13,146.62,5.84,1.45
239,75.39,153.51,154.0,157.52,149.92,135.55,10.58,5.62
240,83.91,157.09,148.83,161.65,143.08,108.62,22.3,9.21
241,94.98,161.04,144.58,169.63,137.65,90.76,30.66,12.79
242,108.95,164.91,140.56,175.64,129.54,62.34,41.16,17.43
243,120.92,166.73,139.15,179.95,129.36,46.91,43.85,20.56
244,128.56,172.82,138.31,174.31,129.27,42.66,46.36,21.19
245,137.09,172.21,140.69,172.65,129.24,47.37,48.14,18.74
246,145.67,167.13,143.67,172.06,131.38,51.03,48.52,20.4
247,155.25,159.9,148.13,172.31,133.57,65.64,46.88,17.81
248,160.05,152.18,149.43,169.49,134.59,65.63,44.12,11.49
249,162.64,143.96,151.62,168.28,138.15,89.27,40.89,8.42
250,164.7,123.97,154.55,172.4,143.14,117.38,32.6,8.08
251,162.71,103.25,156.47,176.78,147.15,130.33,26.1,7.52
252,158.92,85.06,155.05,179.7,147.37,143.53,22.01,6.61
253,155.22,73.71,153.83,177.53,150.62,154.11,12.45,5.2
254,152.28,66.42,154.14,170.67,153.93,162.94,4.05,1.95
